aalib 1.4rc5-12
adobe-source-code-pro-fonts 2.030ro+1.050it-3
akonadi-contacts 16.12.1-1
alan-bzr 1:114-1
alsa-utils 1.1.3-1
amidst 4.2-1
android-sdk 25.2.1-1
android-tools 7.1.1_r13-1
android-udev 20170103-1
ansible 2.2.1.0-1
apache 2.4.25-1
arch-install-scripts 17-1
archey-plus 0.2.8-1
arduino 1:1.8.0-3
arduino-avr-core 1.6.16-1
arduino-docs 1.6.6-4
audacity 2.1.2-3
aurvote 1.9-3
autoconf 2.69-4
autokey-py3 0.93.7-1
automake 1.15-2
awesome 4.0-1
bash 4.4.005-2
bind-tools 9.11.0.P2-1
binutils 2.27-1
bison 3.0.4-2
bumblebee 3.2.1-12
bzip2 1.0.6-5
calibre 2.77.0-2
ckermit 9.0.302-6
cmatrix 1.2a-11
cmus 2.7.1-8
compiz 0.9.13.0-7
compton 0.1_beta2.5-4
conky 1.10.6-1
coreutils 8.26-1
cowsay 3.03-9
cryptsetup 1.7.3-1
ctags 5.8-5
cython 0.25.2-2
delorean-dark-themes-3.8 10082013-1
deluge 1.3.13+11+g48cedf635-1
device-mapper 2.02.168-1
dhcpcd 6.11.5-1
dialog 1:1.3_20160828-1
diffutils 3.5-1
docker 1:1.12.6-1
dolphin 16.12.1-1
dosbox 0.74-7
dosfstools 4.0-3
doublecmd-qt 0.7.7-2
downgrade 5.3.0-1
dwarffortress 0.43.05-4
e2fsprogs 1.43.3-1
electrum 2.7.17-1
emacs 25.1-3
espeak 1.48.04-2
facter 3.4.2-1
fakeroot 1.21-2
feh 2.18-1
ffmpegthumbs 16.12.1-1
file 5.29-1
filesystem 2016.12-2
filezilla 3.24.0-1
findutils 4.6.0-2
firefox 50.1.0-1
flex 2.6.3-1
fontconfig-ttf-ms-fonts 1.0-2
fortune-mod 1.99.1-6
fpc 3.0.0-1
gamin 0.1.10-8
garcon 0.4.0-1
gawk 4.1.4-2
gcc-multilib 6.3.1-1
gconf 3.2.6-5
gettext 0.19.8.1-2
gimp 2.8.18-4
gitkraken 1.5.3-1
glibc 2.24-2
gmrun 0.9.2-6
gnome-screensaver 3.6.1-13
google-appengine-python 1.9.31-1
google-chrome 52.0.2743.116-1
gparted 0.27.0-1
gpicview 0.2.5-2
grep 2.27-1
groff 1.22.3-7
grub 1:2.02.beta3-6
grub-customizer 5.0.6-1
grub2-theme-archlinux 1.0-4
gstreamer0.10-bad-plugins 0.10.23-20
gstreamer0.10-ffmpeg 0.10.13-2
gtk-xfce-engine 2.10.1-1
gtksourceview3 3.22.2-1
gvfs-mtp 1.30.3-1
gvfs-smb 1.30.3-1
gzip 1.8-2
heimdall 1.4.1-2
htop 2.0.2-1
inetutils 1.9.4-5
intel-ucode 20161104-1
intltool 0.51.0-1
iproute2 4.9.0-1
iputils 20161105.1f2bb12-1
jfsutils 1.1.15-4
jzip 2.1-10
kdegraphics-thumbnailers 16.12.1-1
kdenetwork-filesharing 16.12.1-1
kdesdk-thumbnailers 16.12.1-1
konsole 16.12.1-1
konsolepart4 4.14.3-8
less 487-1
lib32-mesa-libgl 13.0.3-1
libgdiplus 4.2-1
libreoffice-still 5.1.6-5
libtinfo 6-14
libtinfo-5 5-10
libtool 2.4.6-7
libvdpau-va-gl 0.4.2-1
licenses 20140629-1
linux 4.8.13-1
logrotate 3.11.0-1
lshw B.02.18-2
lsof 4.89-1
lvm2 2.02.168-1
lxappearance 0.6.2-1
lxappearance-obconf 0.2.3-1
lxc 1:2.0.6-3
lxde-common 0.99.2-1
lxde-icon-theme 0.5.1-3
lxdm 0.5.3-3
lxinput 0.3.5-1
lxlauncher 0.2.5-1
lxmusic 0.4.7-1
lxpanel 0.9.3-1
lxrandr 0.3.1-1
lxsession 1:0.5.3-1
lxtask 0.1.7-1
lxterminal 0.3.0-1
lynx 2.8.8-4
m4 1.4.18-1
make 4.2.1-1
man-db 2.7.6.1-2
man-pages 4.09-1
mdadm 3.4-1
meld 3.16.4-1
menda-themes-dark-git r91.2759ebc-1
menda-themes-git r91.2759ebc-1
mesa-demos 8.3.0-2
minecraft latest-25
minicom 2.7-2
mirage 0.9.5.2-4
mlocate 0.26-5
mod_wsgi 4.4.22-1
mongochef 3.6.0-1
mono 4.6.1.3-1
monodevelop 5.10.1.6-2
mousepad 0.4.0-2
mpg123 1.23.8-1
mtpfs 1.1-2
mutt 1.7.2-1
nano 2.7.4-1
nasm 2.12.02-1
ncdu 1.12-1
ncurses5-compat-libs 6.0-3
net-tools 1.60.20160710git-1
netctl 1.12-2
nethack 3.6.0-1
netkit-bsd-finger 0.17-9
nitrogen 1.6.0-2
nmap 7.40-1
ntfs-3g 2016.2.22-1
ntp 4.2.8.p9-1
numix-themes-archblue-git 2.6.1.r21.d24e294-1
nvidia-340xx 340.101-4
obapps 0.1.7-5
obbrowser 0.06-1
obconf 2.0.4-4
obkey-git 1.0.28.gbb6b720-1
openbox 3.6.1-3
